museum,Species,Registration No.,StudNo,c_w,SPP,wingflat_adjusted,age,HWI,repeat,P2-P3,Q1_adjusted,Q2_adjusted,Q3_adjusted,Q4_adjusted,Q5_adjusted,Q6_adjusted,Q7_adjusted,Q8_adjusted,Q9_adjusted,Q10_adjusted,tail length,alula length unflattened,culL,culW
Healesville,OBP,a41279,787,c,OBPc,104,1+,,1,0,76.28,79,79,71.51,62.58,55.6,50.135,44.67,42.05,36.84,105,27,10.21,7.33
Healesville,OBP,a50209,836,c,OBPc,105.42,1+,,1,0,74.39,78,78,68.62,61.05,52.82,48.3,42.19,38.77,35.05,107,29,10.38,6.66
Healesville,OBP,a51324,884,c,OBPc,103,1+,42.7184466,1,0,76.06,78,78,70.82,63.35,56.23,51.06,45.9,42.1,36.84,103,30,10.84,6.69
Healesville,OBP,a51329,891,c,OBPc,105,1+,43.63809524,1,0,76.49,79,79,70.18,61.73,54.67,49.83,44.39,40.04,37.17,96,31,,
Healesville,OBP,b01138,1239,c,OBPc,103,1+,41.94174757,1,0,71.36,74,74,65.28,57.06,50.12,43.59,37.24,33.31,28.47,109,28,10.94,7.03
Healesville,OBP,b00161,1295,c,OBPc,102,1+,41.46078431,1,0,70.21,74,74,65.39,56.67,50.17,43.75,39.58,35.59,30.88,103,27,11.27,6.19
Healesville,OBP,b01761,1354,c,OBPc,106,1+,43.16981132,1,0,75.73,78,78,70.1,61.5,53.94,47.4,42.22,38.28,35.15,111,28,11.1,6.95
Healesville,OBP,b01807,1363,c,OBPc,99.85,1+,,1,0,71.04,74,74,66.88,57.65,50.15,45.2,40.42,35.88,33.41,96,26,10.7,7.1
Healesville,OBP,b10099,1384,c,OBPc,100,1+,42.59,1,0,70.45,74,74,66.02,58.13,52.08,44.76,39.5,36.67,74,93,25,,
Healesville,OBP,b20507,1438,c,OBPc,99,1+,44.17171717,1,0,71.98,74,74,65.14,56.32,50.52,45.21,39.74,36.04,30.95,100,27,,
Healesville,OBP,b20006,1446,c,OBPc,102,1+,42.44117647,1,0,72.6,75,75,68.37,58.12,50.73,44.4,38.31,34.66,30.53,99,27,10.58,6.81
Healesville,OBP,b20058,1505,c,OBPc,103,1+,41.26213592,1,0,73.46,78,78,71.64,63.1,56.32,49.67,44.21,40.58,36.96,103,28,10.34,6.77
Healesville,OBP,b40379,1823,c,OBPc,99.39,1+,40.70832076,1,0,72.44,75,75,69.26,63.25,55.54,47.13,40.19,35.42,31.4,110,26,,
Healesville,OBP,a60818,,c,OBPc,99.69,1+,,1,0,73.45,76,76,70.94,62.46,54.62,43.56,39.21,36.1,32.45,,26,11.14,6.49
Healesville,OBP,a11558,,c,OBPc,107,1+,,1,0,76.51,79,79,71.68,61.23,53.665,46.1,41.03,37.36,33.74,108,25,10.16,6.69
DPIPWE,OBP,,148,c,OBPc,106.7,1+,43.30834114,1,0,73.56,76,76,67.38,59.72,49.92,43.51,38.14,33.29,27.57,104,29,11.1,6.47
