id,year,sex,age,mass,survival,reproduction,fitness,StMass,mother
CN07-137,2007,Male,J,32,1,0,2,0.0988173272051659,CN06-059
CN07-137,2008,Male,A,49,0,7,7,1.73673067225289,CN06-059
CN07-138,2007,Male,J,37,0,0,0,0.580556546336848,CN06-147
CN07-140,2007,Male,J,32,0,0,0,0.0988173272051659,CN06-089
CN07-141,2007,Female,J,16,0,0,0,-1.44274817401622,CN06-089
CN07-142,2007,Female,J,24,0,0,0,-0.671965423405526,CN06-116
CN07-143,2007,Female,J,24,0,0,0,-0.671965423405526,CN06-036
CN07-144,2007,Male,J,22,0,0,0,-0.864661111058199,CN06-036
CN07-145,2007,Male,J,27,0,0,0,-0.382921891926516,CN07-110
CN07-148,2007,Male,J,24,0,0,0,-0.671965423405526,CN06-157
CN07-149,2007,Male,J,33,0,0,0,0.195165171031502,CN06-157
CN07-151,2007,Male,J,19,0,0,0,-1.15370464253721,CN06-089
CN07-152,2007,Male,J,27,0,0,0,-0.382921891926516,CN06-007
CN07-153,2007,Male,J,23,0,0,0,-0.768313267231862,CN06-007
CN07-154,2007,Male,J,32,0,0,0,0.0988173272051659,NA
CN07-156,2007,Female,J,24,0,0,0,-0.671965423405526,CN06-007
CN07-157,2007,Female,J,26,0,0,0,-0.479269735752853,CN06-136
CN07-158,2007,Female,J,27,1,0,2,-0.382921891926516,CN07-007
CN07-158,2008,Female,A,35,0,2,2,0.387860858684175,CN07-007
CN07-160,2007,Female,J,25,1,0,2,-0.575617579579189,CN06-119
CN07-160,2008,Female,A,37,0,2,2,0.580556546336848,CN06-119
CN07-161,2007,Female,J,28,0,0,0,-0.28657404810018,NA
CN07-164,2007,Male,J,25,0,0,0,-0.575617579579189,CN06-007
CN07-165,2007,Female,J,26,1,0,2,-0.479269735752853,CN06-007
CN07-165,2008,Female,A,35,0,3,3,0.387860858684175,CN06-007
CN07-166,2007,Female,J,24,1,0,2,-0.671965423405526,CN06-136
CN07-166,2008,Female,A,31,0,0,0,0.00246948337882945,CN06-136
CN07-167,2007,Female,J,27,0,0,0,-0.382921891926516,CN06-198
CN07-169,2007,Female,J,28,0,0,0,-0.28657404810018,CN06-116
CN07-170,2007,Female,J,27,0,0,0,-0.382921891926516,CN06-116
CN07-173,2007,Female,J,24,0,0,0,-0.671965423405526,CN06-154
CN07-175,2007,Female,J,21,0,0,0,-0.961008954884535,CN06-154
CN07-177,2007,Male,J,31,0,0,0,0.00246948337882945,CN07-026
CN07-178,2007,Female,J,32,1,0,2,0.0988173272051659,CN06-192
CN07-178,2008,Female,A,43,0,3,3,1.15864360929487,CN06-192
CN07-179,2007,Male,J,31,0,0,0,0.00246948337882945,NA
CN07-182,2007,Male,J,32,0,0,0,0.0988173272051659,CN06-180
CN07-183,2007,Male,J,26,0,0,0,-0.479269735752853,CN06-222
CN07-184,2007,Female,J,28,0,0,0,-0.28657404810018,CN07-031
CN07-185,2007,Male,J,23,0,0,0,-0.768313267231862,CN06-050
CN07-186,2007,Male,J,34,0,0,0,0.291513014857839,CN06-188
CN07-187,2007,Female,J,25,1,0,2,-0.575617579579189,CN06-147
CN07-187,2008,Female,A,42,0,4,4,1.06229576546853,CN06-147
