"","id","year","sex","age","mass","survival","reproduction","fitness","StMass","mother"
"101","CN12-029",2013,"Female","A",36,0,2,2,0.484208702510512,"CN10-069"
"102","CN12-030",2012,"Female","A",43,0,3,3,1.15864360929487,NA
"103","CN12-031",2012,"Male","J",28,1,0,2,-0.28657404810018,"CN10-097"
"104","CN12-031",2013,"Male","A",49,0,0,0,1.73673067225289,"CN10-097"
"105","CN12-032",2012,"Female","J",18,1,0,2,-1.25005248636354,"CN10-097"
"106","CN12-032",2013,"Female","A",41,0,5,5,0.965947921642194,"CN10-097"
"107","CN12-033",2012,"Female","J",25,1,0,2,-0.575617579579189,"CN12-015"
"108","CN12-033",2013,"Female","A",44,1,4,6,1.2549914531212,"CN12-015"
"109","CN12-033",2014,"Female","A",40,0,2,2,0.869600077815857,"CN12-015"
"110","CN12-034",2012,"Female","J",23,0,0,0,-0.768313267231862,"CN10-069"
"111","CN12-035",2012,"Female","A",33,1,3,5,0.195165171031502,"CN10-098"
"112","CN12-035",2013,"Female","A",35,0,6,6,0.387860858684175,"CN10-098"
"113","CN12-037",2012,"Male","J",28,0,0,0,-0.28657404810018,"CN11-004"
"114","CN12-038",2012,"Female","J",23,0,0,0,-0.768313267231862,"CN12-002"
"115","CN12-039",2012,"Female","J",34,0,0,0,0.291513014857839,"CN11-031"
"116","CN12-040",2012,"Male","A",44,0,3,3,1.2549914531212,NA
"117","CN12-041",2012,"Male","J",25,1,0,2,-0.575617579579189,"CN12-F2"
"118","CN12-041",2013,"Male","A",39,0,0,0,0.773252233989521,"CN12-F2"
"119","CN12-042",2012,"Male","J",26,0,0,0,-0.479269735752853,"CN11-031"
"120","CN12-043",2012,"Male","J",29,0,0,0,-0.190226204273843,"CN12-009"
"121","CN12-044",2012,"Female","J",23,1,0,2,-0.768313267231862,"CN12-003"
"122","CN12-044",2013,"Female","A",40,0,6,6,0.869600077815857,"CN12-003"
"123","CN12-045",2012,"Female","J",22,1,0,2,-0.864661111058199,"CN12-003"
"124","CN12-045",2013,"Female","A",38,1,0,2,0.676904390163184,"CN12-003"
"125","CN12-045",2014,"Female","A",37,0,5,5,0.580556546336848,"CN12-003"
"126","CN12-047",2012,"Female","J",30,1,0,2,-0.093878360447507,"CN12-004"
"127","CN12-047",2013,"Female","A",39,0,2,2,0.773252233989521,"CN12-004"
"128","CN12-048",2012,"Female","J",29,0,0,0,-0.190226204273843,"CN10-097"
"129","CN12-049",2012,"Male","J",34,0,0,0,0.291513014857839,"CN12-035"
"130","CN12-050",2012,"Female","J",22,0,0,0,-0.864661111058199,"CN10-097"
"131","CN12-051",2012,"Male","J",28,1,1,3,-0.28657404810018,"CN12-F3"
"132","CN12-051",2013,"Male","A",37,0,2,2,0.580556546336848,"CN12-F3"
"133","CN12-053",2012,"Female","J",29,1,0,2,-0.190226204273843,"CN12-035"
"134","CN12-053",2013,"Female","A",42,0,7,7,1.06229576546853,"CN12-035"
"135","CN12-054",2012,"Female","J",20,0,0,0,-1.05735679871087,"CN12-035"
"136","CN12-055",2012,"Male","J",28,0,0,0,-0.28657404810018,"CN12-015"
"137","CN12-056",2012,"Male","J",33,1,0,2,0.195165171031502,"CN12-015"
"138","CN12-056",2013,"Male","A",53,1,2,4,2.12212204755823,"CN12-015"
"139","CN12-056",2014,"Male","A",48,0,0,0,1.64038282842655,"CN12-015"
"140","CN12-057",2012,"Male","J",33,1,0,2,0.195165171031502,"CN12-030"
"141","CN12-057",2013,"Male","A",43,0,2,2,1.15864360929487,"CN12-030"
"142","CN12-058",2012,"Male","A",44,0,1,1,1.2549914531212,NA
"143","CN12-059",2012,"Female","J",31,0,0,0,0.00246948337882945,"CN12-F4"
