"","Sex","BloodNumber","Site","BCestimate","angles","Season1","log_T_vol","t.bodyratio"
"161","0","WIL-31","B",-0.0432517140139952,-0.815028337516811,-1,3.4874169961944,0.000476010591291047
"171","0","TKN-46","A",-0.148143859592925,0.824854774859424,-1.83690953073357e-16,4.47109322863864,0.00584540279706497
"181","0","TKN-18","A",0.0339951430546348,0.75113193087052,-1.83690953073357e-16,3.34683362495665,0.000376080483666365
"191","0","TKN-18","A",-0.0472951063725204,-0.794657851737625,6.12303176911189e-17,4.08138660407713,0.00221591616137151
"201","0","TKN-47","A",0.0148803246350377,0.971256999465831,1,3.6105450086933,0.000773996909964939
"211","0","TKN-47","A",0.0051781586621702,-0.627317096874294,6.12303176911189e-17,4.36330877205752,0.00463798723679398
"221","0","WIL-04","B",0.0495837783693527,0.88668031802274,-1.83690953073357e-16,5.16499836667527,0.023517176405871
"231","0","WIL-04","B",-0.180323329158525,0.558243722026865,1,5.51361692318895,0.0672016455970315
"241","0","WIL-01","B",-0.0947640193372242,0.878612245057148,-1.83690953073357e-16,3.92744184115563,0.00145624753393501
"251","0","WIL-01","B",0.0364870159918096,-0.843775559823186,6.12303176911189e-17,5.34580381162504,0.0383710032410211
"261","0","WIL-17","B",-0.0823234745793543,0.902030236986071,-1.83690953073357e-16,3.89712436542147,0.00167179919869205
"271","0","WIL-14","B",0.0659284278750223,0.640593178698175,1,3.20855760110965,0.000265290638347869
"281","0","WIL-19","B",0.0434266836204114,0.558243722026865,1,3.46707377977052,0.000488637183016851
"291","0","WIL-03","B",-0.0133880685463852,0.88668031802274,-1.83690953073357e-16,2.25448236606552,3.17010200437825e-05
"301","0","WIL-03","B",-0.0363249522142226,0.627317096874294,1,4.38246554024368,0.00451799695045432
"311","0","WIL-06","B",0.00302719549431529,0.88668031802274,-1.83690953073357e-16,3.86147157471454,0.00140455650904657
"321","0","TKN-73","A",-0.146615806645947,0.804961707582196,1,3.72149977297117,0.00103531225138393
"331","0","TKN-69","A",-0.0343852223238411,-0.653680474772006,6.12303176911189e-17,3.27272007693985,0.000332378989665785
"341","0","TKN-69","A",0.0220570363656913,-0.640593178698175,-1,4.20200094728841,0.00254460848178098
"351","0","TKN-52","A",0.123280360295775,-0.861701759948068,6.12303176911189e-17,4.06064512226327,0.0021482260906568
"361","0","TKN-52","A",-0.0470531739394222,0.728027801156985,-1.83690953073357e-16,4.68686053869007,0.0108129724083616
"371","0","WIL-23","B",-0.362812429630282,-0.627317096874294,6.12303176911189e-17,4.30998153958076,0.00550749877918885
"381","0","TKN-50","A",-0.0754789639988844,0.96702772479132,1,3.82953855404548,0.00151820247896051
"391","0","TKN-50","A",0.129556012336121,-0.640593178698175,6.12303176911189e-17,4.37217159256857,0.00426643325307514
"401","0","TKN-28","A",-0.0643626690900199,-0.834438123713847,6.12303176911189e-17,4.39165517738385,0.00469500964448095
"411","0","TKN-28","A",0.062866849103838,-0.739688860864967,-1,5.09915447404678,0.0220721834736239
"421","0","WIL-22","B",0.066093079576208,0.613856141822612,1,3.82412343255899,0.000966177259470831
"431","0","TKN-62","A",-0.00354602273936666,-0.640593178698175,6.12303176911189e-17,2.96599862439036,0.00016937281054095
"441","0","TKN-62","A",0.255429182549935,-0.640593178698175,-1,3.05884212592993,0.000163469089489974
"451","0","TKN-62","A",0.0743751330338651,0.804961707582196,-1.83690953073357e-16,5.12157022191915,0.0212317550517659
"461","0","TKN-59","A",0.0165120655820707,0.773350677709729,-1.83690953073357e-16,4.04876639356193,0.0019265317180274
"471","0","TKN-90","A",-0.0470418048120609,0.843775559823185,-1.83690953073357e-16,3.03641183758854,0.000243957867455987
"481","0","WIL-26","B",-0.0116427006078406,0.909307559292236,-1.83690953073357e-16,3.21913579373771,0.000298583640578982
"491","0","TKN-44","A",0.00405497638042251,0.971256999465831,1,2.85416934155946,0.000145419750703238
